frac,qid,main,union,n_incomparable
0.8,Q0085,0.27282209290266196,0.20905885643354932,489
0.8,Q0086,0.23538116332161121,0.1736666713479918,215
0.8,Q0088,0.3837150082878975,0.2682491024469036,489
0.8,Q0089,0.49700058404762343,0.4120960287630914,362
0.8,Q0090,0.3875090911136766,0.23909919631747004,488
0.8,Q0091,0.3041765534183602,0.2435522702101235,494
0.8,Q0092,0.7380824007897908,0.5092735524444503,489
0.8,Q0093,0.6596281646024711,0.38730167481210276,494
0.8,Q0097,0.696928197058187,0.619345147588638,494
0.8,Q0098,0.49270284524862823,0.4085324895066521,362
0.8,Q0100,0.7756806105732827,0.4786071213299869,489
0.8,Q0101,0.42396468221167466,0.32102353039970194,494
0.8,Q0102,0.5327780135635183,0.3930891617548408,494
0.8,Q0103,0.48176683832590483,0.4554950789124097,489
0.8,Q0106,0.23721994800876472,0.22212782793993277,489
0.8,Q0108,0.503675381554827,0.35211150491489773,489
0.8,Q0109,0.26706823190176227,0.17630010660342915,215
0.8,Q0110,0.7658972839105633,0.6806364964764378,489
