case_id,dataset,shape,liver_dice,tumor_dice
volume-0,lits,"256,256,28",0.9988,0.2033
volume-1,lits,"256,256,28",0.9956,0.2228
volume-2,lits,"256,256,138",0.9999,0.9037
volume-3,lits,"256,256,168",1.0000,0.8786
volume-4,lits,"256,256,249",0.9759,0.7962
volume-5,lits,"256,256,175",1.0000,0.7794
volume-6,lits,"256,256,185",0.9995,0.7850
volume-7,lits,"256,256,176",0.9995,0.7843
volume-8,lits,"256,256,178",0.9997,0.5358
volume-9,lits,"256,256,171",0.9996,0.7732
volume-10,lits,"256,256,180",0.9997,0.8073
volume-11,lits,"256,256,166",0.9998,0.7464
volume-12,lits,"256,256,188",1.0000,0.8769
volume-13,lits,"256,256,140",0.9979,0.2381
volume-14,lits,"256,256,138",1.0000,0.8051
volume-15,lits,"256,256,132",1.0000,0.7170
volume-16,lits,"256,256,186",0.9904,0.6986
volume-17,lits,"256,256,197",0.9993,0.3893
volume-18,lits,"256,256,188",0.9997,0.2776
volume-19,lits,"256,256,187",0.9996,0.2778
volume-20,lits,"256,256,193",1.0000,0.6997
volume-21,lits,"256,256,174",0.9972,0.4377
volume-22,lits,"256,256,45",0.9994,0.9012
volume-23,lits,"256,256,115",0.9996,0.9169
volume-24,lits,"256,256,117",1.0000,0.8534
volume-25,lits,"256,256,231",1.0000,0.6598
volume-26,lits,"256,256,191",0.9990,0.8660
volume-27,lits,"256,256,228",0.9972,0.6047
volume-28,lits,"256,256,97",0.9941,0.6813
volume-29,lits,"256,256,113",0.9995,0.9157
volume-30,lits,"256,256,122",0.9997,0.9106
volume-31,lits,"256,256,66",0.9955,0.1276
volume-32,lits,"256,256,118",1.0000,N/A
volume-33,lits,"256,256,95",0.9775,0.6580
volume-34,lits,"256,256,97",1.0000,N/A
volume-35,lits,"256,256,115",0.9929,0.2367
volume-36,lits,"256,256,88",0.9974,0.8961
volume-37,lits,"256,256,98",0.9993,0.7300
volume-38,lits,"256,256,95",1.0000,N/A
volume-39,lits,"256,256,238",0.9950,0.9411
volume-40,lits,"256,256,89",0.9880,0.3817
volume-41,lits,"256,256,103",1.0000,N/A
volume-42,lits,"256,256,114",0.9999,0.4702
volume-43,lits,"256,256,112",0.9999,0.9208
volume-44,lits,"256,256,112",0.9805,0.5647
volume-45,lits,"256,256,58",0.9998,0.8870
volume-46,lits,"256,256,40",0.9772,0.3108
volume-47,lits,"256,256,84",1.0000,N/A
volume-48,lits,"256,256,68",0.9986,0.9431
volume-49,lits,"256,256,72",0.9989,0.2088
volume-50,lits,"256,256,63",0.9998,0.9229
volume-51,lits,"256,256,55",0.9925,0.6671
volume-52,lits,"256,256,55",0.9986,0.9121
volume-53,lits,"256,256,43",0.9997,0.8469
volume-54,lits,"256,256,28",0.9999,0.8276
volume-55,lits,"256,256,91",0.9999,0.9011
volume-56,lits,"256,256,89",0.9946,0.9437
volume-57,lits,"256,256,148",0.9999,0.9103
volume-58,lits,"256,256,82",0.9998,0.4116
volume-59,lits,"256,256,76",1.0000,0.8788
volume-60,lits,"256,256,78",0.9997,0.9106
volume-61,lits,"256,256,60",0.9998,0.8323
volume-62,lits,"256,256,88",0.9999,0.8683
volume-63,lits,"256,256,36",0.9998,0.3097
volume-64,lits,"256,256,103",0.9972,0.9621
volume-65,lits,"256,256,200",1.0000,0.8851
volume-66,lits,"256,256,34",0.9990,0.0944
volume-67,lits,"256,256,78",1.0000,0.8318
volume-68,lits,"256,256,63",0.9998,0.9252
volume-69,lits,"256,256,95",0.9999,0.9156
volume-70,lits,"256,256,109",0.9970,0.8203
volume-71,lits,"256,256,35",0.9926,0.8823
volume-72,lits,"256,256,57",0.9990,0.6873
volume-73,lits,"256,256,49",1.0000,0.8791
volume-74,lits,"256,256,31",0.9971,0.9076
volume-75,lits,"256,256,36",0.9998,0.8962
volume-76,lits,"256,256,74",0.9813,0.6713
volume-77,lits,"256,256,35",0.9998,0.8972
volume-78,lits,"256,256,58",0.9986,0.3571
volume-79,lits,"256,256,58",0.9967,0.2130
volume-80,lits,"256,256,75",0.9975,0.9163
volume-81,lits,"256,256,110",0.9999,0.9080
volume-82,lits,"256,256,169",0.9989,0.9323
volume-83,lits,"256,256,214",1.0000,0.5421
volume-84,lits,"256,256,257",0.9830,0.4524
volume-85,lits,"256,256,275",0.9999,0.9278
volume-86,lits,"256,256,279",1.0000,0.8378
volume-87,lits,"256,256,214",1.0000,N/A
volume-88,lits,"256,256,174",0.9953,0.8517
volume-89,lits,"256,256,192",1.0000,N/A
volume-90,lits,"256,256,182",0.9765,0.3945
volume-91,lits,"256,256,188",1.0000,N/A
volume-92,lits,"256,256,178",0.9998,0.1501
volume-93,lits,"256,256,233",0.9878,0.3688
volume-94,lits,"256,256,251",0.9951,0.2222
volume-95,lits,"256,256,262",0.9999,0.7362
volume-96,lits,"256,256,298",0.9966,0.1725
volume-97,lits,"256,256,231",0.9848,0.5215
volume-98,lits,"256,256,240",0.9926,0.7442
volume-99,lits,"256,256,225",0.9990,0.1806
volume-100,lits,"256,256,275",0.9806,0.8952
volume-101,lits,"256,256,258",0.9894,0.6269
volume-102,lits,"256,256,312",0.9996,0.9261
volume-103,lits,"256,256,213",0.9983,0.9017
volume-104,lits,"256,256,193",0.9955,0.8830
volume-105,lits,"256,256,238",1.0000,N/A
volume-106,lits,"256,256,167",1.0000,N/A
volume-107,lits,"256,256,247",0.9999,0.6908
volume-108,lits,"256,256,204",0.9570,0.5785
volume-109,lits,"256,256,193",0.9946,0.2328
volume-110,lits,"256,256,188",0.9961,0.3852
volume-111,lits,"256,256,232",0.9999,0.3654
volume-112,lits,"256,256,190",1.0000,0.7523
volume-113,lits,"256,256,169",0.9958,0.4991
volume-114,lits,"256,256,214",1.0000,N/A
volume-115,lits,"256,256,185",1.0000,N/A
volume-116,lits,"256,256,218",0.9949,0.9364
volume-117,lits,"256,256,259",0.9533,0.4703
volume-118,lits,"256,256,121",0.9944,0.8383
volume-119,lits,"256,256,131",1.0000,N/A
volume-120,lits,"256,256,119",0.9998,0.7872
volume-121,lits,"256,256,112",0.9999,0.8276
volume-122,lits,"256,256,117",0.9871,0.4556
volume-123,lits,"256,256,114",0.9974,0.6566
volume-124,lits,"256,256,111",0.9969,0.6698
volume-125,lits,"256,256,111",1.0000,0.8923
volume-126,lits,"256,256,112",0.9998,0.8564
volume-127,lits,"256,256,226",1.0000,0.8353
volume-128,lits,"256,256,291",0.9891,0.2818
volume-129,lits,"256,256,276",0.9383,0.4805
volume-130,lits,"256,256,240",0.9821,0.8675
