family,stratum,method,n_queries,n_candidates,n_incomparable,incomparable_rate_micro,incomparable_rate_query_mean
exploratory-source-pairs,flare22-to-lits,MissingnessIndicators,5,655,0,0.0,0.0
exploratory-source-pairs,flare22-to-lits,OAKG,5,655,0,0.0,0.0
exploratory-source-pairs,flare22-to-lits,OAKG-Union,5,655,0,0.0,0.0
exploratory-source-pairs,flare22-to-lits,WL,5,655,0,0.0,0.0
exploratory-source-pairs,flare22-to-lits,ZeroImputation,5,655,0,0.0,0.0
exploratory-source-pairs,flare22-to-msd_pancreas,MissingnessIndicators,3,843,0,0.0,0.0
exploratory-source-pairs,flare22-to-msd_pancreas,OAKG,3,843,0,0.0,0.0
exploratory-source-pairs,flare22-to-msd_pancreas,OAKG-Union,3,843,0,0.0,0.0
exploratory-source-pairs,flare22-to-msd_pancreas,WL,3,843,0,0.0,0.0
exploratory-source-pairs,flare22-to-msd_pancreas,ZeroImputation,3,843,0,0.0,0.0
exploratory-source-pairs,lits-to-flare22,MissingnessIndicators,3,300,0,0.0,0.0
exploratory-source-pairs,lits-to-flare22,OAKG,3,300,0,0.0,0.0
exploratory-source-pairs,lits-to-flare22,OAKG-Union,3,300,0,0.0,0.0
exploratory-source-pairs,lits-to-flare22,WL,3,300,0,0.0,0.0
exploratory-source-pairs,lits-to-flare22,ZeroImputation,3,300,0,0.0,0.0
exploratory-source-pairs,msd_pancreas-to-flare22,MissingnessIndicators,10,1000,0,0.0,0.0
exploratory-source-pairs,msd_pancreas-to-flare22,OAKG,10,1000,0,0.0,0.0
exploratory-source-pairs,msd_pancreas-to-flare22,OAKG-Union,10,1000,0,0.0,0.0
exploratory-source-pairs,msd_pancreas-to-flare22,WL,10,1000,0,0.0,0.0
exploratory-source-pairs,msd_pancreas-to-flare22,ZeroImputation,10,1000,0,0.0,0.0
primary,cross-source-pooled,MissingnessIndicators,21,6749,0,0.0,0.0
primary,cross-source-pooled,OAKG,21,6749,2153,0.3190102237368499,0.37540924267583436
primary,cross-source-pooled,OAKG-Union,21,6749,0,0.0,0.0
primary,cross-source-pooled,WL,21,6749,0,0.0,0.0
primary,cross-source-pooled,ZeroImputation,21,6749,0,0.0,0.0
primary,flare22-to-other-sources,MissingnessIndicators,8,3296,0,0.0,0.0
primary,flare22-to-other-sources,OAKG,8,3296,0,0.0,0.0
primary,flare22-to-other-sources,OAKG-Union,8,3296,0,0.0,0.0
primary,flare22-to-other-sources,WL,8,3296,0,0.0,0.0
primary,flare22-to-other-sources,ZeroImputation,8,3296,0,0.0,0.0
primary,lits-to-other-sources,MissingnessIndicators,3,1143,0,0.0,0.0
primary,lits-to-other-sources,OAKG,3,1143,843,0.7375328083989501,0.73753280839895
primary,lits-to-other-sources,OAKG-Union,3,1143,0,0.0,0.0
primary,lits-to-other-sources,WL,3,1143,0,0.0,0.0
primary,lits-to-other-sources,ZeroImputation,3,1143,0,0.0,0.0
primary,msd_pancreas-to-other-sources,MissingnessIndicators,10,2310,0,0.0,0.0
primary,msd_pancreas-to-other-sources,OAKG,10,2310,1310,0.5670995670995671,0.5670995670995671
primary,msd_pancreas-to-other-sources,OAKG-Union,10,2310,0,0.0,0.0
primary,msd_pancreas-to-other-sources,WL,10,2310,0,0.0,0.0
primary,msd_pancreas-to-other-sources,ZeroImputation,10,2310,0,0.0,0.0
primary,same-source,MissingnessIndicators,111,22624,0,0.0,0.0
primary,same-source,OAKG,111,22624,0,0.0,0.0
primary,same-source,OAKG-Union,111,22624,0,0.0,0.0
primary,same-source,WL,111,22624,0,0.0,0.0
primary,same-source,ZeroImputation,111,22624,0,0.0,0.0
