family,stratum,method_a,method_b,metric,delta,ci_low,ci_high,p_value,n_queries,holm_p
exploratory-source-pairs,flare22-to-lits,OAKG,MissingnessIndicators,ndcg@10,0.7755285679070123,0.7689725297506621,0.7788065869851873,0.06311936880631194,5,0.18935810641893583
exploratory-source-pairs,flare22-to-msd_pancreas,OAKG,MissingnessIndicators,ndcg@10,-0.6666666666666666,-1.0,0.0,0.4995250047499525,3,0.999050009499905
exploratory-source-pairs,lits-to-flare22,OAKG,MissingnessIndicators,ndcg@10,-0.3126667288804499,-0.4690000933206748,0.0,0.5017149828501715,3,0.999050009499905
exploratory-source-pairs,msd_pancreas-to-flare22,OAKG,MissingnessIndicators,ndcg@10,-0.6933745776545611,-0.9801237329636834,-0.3933745776545611,0.015489845101548985,10,0.06195938040619594
exploratory-source-pairs,flare22-to-lits,OAKG,OAKG-Union,ndcg@10,1.0,1.0,1.0,0.06291937080629194,5,0.25167748322516775
exploratory-source-pairs,flare22-to-msd_pancreas,OAKG,OAKG-Union,ndcg@10,0.012533025043179472,-0.199306233590118,0.4362115423097744,1.0,3,1.0
exploratory-source-pairs,lits-to-flare22,OAKG,OAKG-Union,ndcg@10,-0.0938921642850598,-0.25677372734776027,0.13886244387355462,0.4989750102498975,3,1.0
exploratory-source-pairs,msd_pancreas-to-flare22,OAKG,OAKG-Union,ndcg@10,0.004038408939851483,-0.12262363527926545,0.14775040449172655,0.9527604723952761,10,1.0
exploratory-source-pairs,flare22-to-lits,OAKG,WL,ndcg@10,1.0,1.0,1.0,0.06342936570634293,5,0.2537174628253717
exploratory-source-pairs,flare22-to-msd_pancreas,OAKG,WL,ndcg@10,-0.3069567548148375,-0.6402900881481708,0.3597099118518292,0.4977650223497765,3,0.995530044699553
exploratory-source-pairs,lits-to-flare22,OAKG,WL,ndcg@10,-0.3126667288804499,-0.4690000933206748,0.0,0.4998750012499875,3,0.995530044699553
exploratory-source-pairs,msd_pancreas-to-flare22,OAKG,WL,ndcg@10,-0.35353308443083575,-0.6402822397399579,-0.05353308443083573,0.07129928700712992,10,0.2537174628253717
exploratory-source-pairs,flare22-to-lits,OAKG,ZeroImputation,ndcg@10,0.9485766823897512,0.934799150647786,0.9745516847204193,0.06352936470635294,5,0.1905880941190588
exploratory-source-pairs,flare22-to-msd_pancreas,OAKG,ZeroImputation,ndcg@10,-0.6666666666666666,-1.0,0.0,0.5029649703502965,3,0.996830031699683
exploratory-source-pairs,lits-to-flare22,OAKG,ZeroImputation,ndcg@10,-0.3126667288804499,-0.4690000933206748,0.0,0.4984150158498415,3,0.996830031699683
exploratory-source-pairs,msd_pancreas-to-flare22,OAKG,ZeroImputation,ndcg@10,-0.6933745776545611,-0.9670385238314398,-0.4,0.016169838301616984,10,0.06467935320646793
primary,cross-source-pooled,OAKG,MissingnessIndicators,ndcg@10,-0.31346452651074963,-0.5192303654520918,-0.10010629941669263,0.00994990050099499,21,0.04974950250497495
primary,flare22-to-other-sources,OAKG,MissingnessIndicators,ndcg@10,0.03897729002537288,-0.14300537618057643,0.3293637245290397,1.0,8,1.0
primary,lits-to-other-sources,OAKG,MissingnessIndicators,ndcg@10,-0.3126667288804499,-0.4690000933206748,0.0,0.4995750042499575,3,0.999150008499915
primary,msd_pancreas-to-other-sources,OAKG,MissingnessIndicators,ndcg@10,-0.5956573190287374,-0.8633445740663936,-0.3151762191078035,0.015359846401535985,10,0.06143938560614394
primary,same-source,OAKG,MissingnessIndicators,ndcg@10,-0.04394962577578555,-0.08421082407156225,-0.00412945349868825,0.03434965650343497,111,0.1030489695103049
primary,cross-source-pooled,OAKG,OAKG-Union,ndcg@10,0.16963468124905706,0.04497408420601726,0.3151124393475982,0.02168978310216898,21,0.1084489155108449
primary,flare22-to-other-sources,OAKG,OAKG-Union,ndcg@10,0.1792719350834902,0.026363339485931673,0.42211103803192884,0.061169388306116936,8,0.24467755322446774
primary,lits-to-other-sources,OAKG,OAKG-Union,ndcg@10,0.4035351303775377,-0.25677372734776027,0.9363792118010483,0.4967850321496785,3,0.993570064299357
primary,msd_pancreas-to-other-sources,OAKG,OAKG-Union,ndcg@10,0.09175474344296633,-0.02750914524916718,0.2277490294863332,0.24982750172498275,10,0.7494825051749483
primary,same-source,OAKG,OAKG-Union,ndcg@10,0.0007690715351558401,0.0,0.0023072146054675204,1.0,111,1.0
primary,cross-source-pooled,OAKG,WL,ndcg@10,0.21725854845147433,0.026629789700392353,0.419318692721811,0.045809541904580954,21,0.18323816761832382
primary,flare22-to-other-sources,OAKG,WL,ndcg@10,0.1792719350834902,0.027157589106528733,0.43002294157452003,0.06209937900620994,8,0.18629813701862982
