stratum,family,query_id,query_source,method,metric,value,n_candidates,n_graded_relevant,n_binary_relevant
same-source,primary,Q0000,msd_pancreas,MissingnessIndicators,ndcg@10,1.0,280,280,280
same-source,primary,Q0000,msd_pancreas,MissingnessIndicators,precision@10,1.0,280,280,280
same-source,primary,Q0000,msd_pancreas,MissingnessIndicators,recall@10,0.03571428571428571,280,280,280
same-source,primary,Q0000,msd_pancreas,MissingnessIndicators,map,1.0,280,280,280
same-source,primary,Q0000,msd_pancreas,OAKG,ndcg@10,1.0,280,280,280
same-source,primary,Q0000,msd_pancreas,OAKG,precision@10,1.0,280,280,280
same-source,primary,Q0000,msd_pancreas,OAKG,recall@10,0.03571428571428571,280,280,280
same-source,primary,Q0000,msd_pancreas,OAKG,map,1.0,280,280,280
same-source,primary,Q0000,msd_pancreas,OAKG-Union,ndcg@10,1.0,280,280,280
same-source,primary,Q0000,msd_pancreas,OAKG-Union,precision@10,1.0,280,280,280
same-source,primary,Q0000,msd_pancreas,OAKG-Union,recall@10,0.03571428571428571,280,280,280
same-source,primary,Q0000,msd_pancreas,OAKG-Union,map,1.0,280,280,280
same-source,primary,Q0000,msd_pancreas,WL,ndcg@10,1.0,280,280,280
same-source,primary,Q0000,msd_pancreas,WL,precision@10,1.0,280,280,280
same-source,primary,Q0000,msd_pancreas,WL,recall@10,0.03571428571428571,280,280,280
same-source,primary,Q0000,msd_pancreas,WL,map,1.0,280,280,280
same-source,primary,Q0000,msd_pancreas,ZeroImputation,ndcg@10,1.0,280,280,280
same-source,primary,Q0000,msd_pancreas,ZeroImputation,precision@10,1.0,280,280,280
same-source,primary,Q0000,msd_pancreas,ZeroImputation,recall@10,0.03571428571428571,280,280,280
same-source,primary,Q0000,msd_pancreas,ZeroImputation,map,1.0,280,280,280
same-source,primary,Q0001,msd_pancreas,MissingnessIndicators,ndcg@10,0.3170853252047272,280,131,2
same-source,primary,Q0001,msd_pancreas,MissingnessIndicators,precision@10,0.0,280,131,2
same-source,primary,Q0001,msd_pancreas,MissingnessIndicators,recall@10,0.0,280,131,2
same-source,primary,Q0001,msd_pancreas,MissingnessIndicators,map,0.026866151866151863,280,131,2
same-source,primary,Q0001,msd_pancreas,OAKG,ndcg@10,0.21306158485698998,280,131,2
same-source,primary,Q0001,msd_pancreas,OAKG,precision@10,0.0,280,131,2
same-source,primary,Q0001,msd_pancreas,OAKG,recall@10,0.0,280,131,2
same-source,primary,Q0001,msd_pancreas,OAKG,map,0.009852455833818677,280,131,2
same-source,primary,Q0001,msd_pancreas,OAKG-Union,ndcg@10,0.21306158485698998,280,131,2
same-source,primary,Q0001,msd_pancreas,OAKG-Union,precision@10,0.0,280,131,2
same-source,primary,Q0001,msd_pancreas,OAKG-Union,recall@10,0.0,280,131,2
same-source,primary,Q0001,msd_pancreas,OAKG-Union,map,0.009852455833818677,280,131,2
same-source,primary,Q0001,msd_pancreas,WL,ndcg@10,0.3170853252047272,280,131,2
same-source,primary,Q0001,msd_pancreas,WL,precision@10,0.0,280,131,2
same-source,primary,Q0001,msd_pancreas,WL,recall@10,0.0,280,131,2
same-source,primary,Q0001,msd_pancreas,WL,map,0.005562696076398966,280,131,2
same-source,primary,Q0001,msd_pancreas,ZeroImputation,ndcg@10,0.3170853252047272,280,131,2
same-source,primary,Q0001,msd_pancreas,ZeroImputation,precision@10,0.0,280,131,2
same-source,primary,Q0001,msd_pancreas,ZeroImputation,recall@10,0.0,280,131,2
same-source,primary,Q0001,msd_pancreas,ZeroImputation,map,0.02216690374585111,280,131,2
same-source,primary,Q0002,msd_pancreas,MissingnessIndicators,ndcg@10,0.0,280,2,2
same-source,primary,Q0002,msd_pancreas,MissingnessIndicators,precision@10,0.0,280,2,2
same-source,primary,Q0002,msd_pancreas,MissingnessIndicators,recall@10,0.0,280,2,2
same-source,primary,Q0002,msd_pancreas,MissingnessIndicators,map,0.033121356650768416,280,2,2
same-source,primary,Q0002,msd_pancreas,OAKG,ndcg@10,0.0,280,2,2
same-source,primary,Q0002,msd_pancreas,OAKG,precision@10,0.0,280,2,2
same-source,primary,Q0002,msd_pancreas,OAKG,recall@10,0.0,280,2,2
same-source,primary,Q0002,msd_pancreas,OAKG,map,0.009877085162423178,280,2,2
same-source,primary,Q0002,msd_pancreas,OAKG-Union,ndcg@10,0.0,280,2,2
same-source,primary,Q0002,msd_pancreas,OAKG-Union,precision@10,0.0,280,2,2
same-source,primary,Q0002,msd_pancreas,OAKG-Union,recall@10,0.0,280,2,2
same-source,primary,Q0002,msd_pancreas,OAKG-Union,map,0.009877085162423178,280,2,2
same-source,primary,Q0002,msd_pancreas,WL,ndcg@10,0.0,280,2,2
same-source,primary,Q0002,msd_pancreas,WL,precision@10,0.0,280,2,2
same-source,primary,Q0002,msd_pancreas,WL,recall@10,0.0,280,2,2
same-source,primary,Q0002,msd_pancreas,WL,map,0.005562696076398966,280,2,2
same-source,primary,Q0002,msd_pancreas,ZeroImputation,ndcg@10,0.0,280,2,2
same-source,primary,Q0002,msd_pancreas,ZeroImputation,precision@10,0.0,280,2,2
same-source,primary,Q0002,msd_pancreas,ZeroImputation,recall@10,0.0,280,2,2
same-source,primary,Q0002,msd_pancreas,ZeroImputation,map,0.03207070707070707,280,2,2
same-source,primary,Q0003,msd_pancreas,MissingnessIndicators,ndcg@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,MissingnessIndicators,precision@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,MissingnessIndicators,recall@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,MissingnessIndicators,map,0.029411764705882353,280,2,1
same-source,primary,Q0003,msd_pancreas,OAKG,ndcg@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,OAKG,precision@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,OAKG,recall@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,OAKG,map,0.01098901098901099,280,2,1
same-source,primary,Q0003,msd_pancreas,OAKG-Union,ndcg@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,OAKG-Union,precision@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,OAKG-Union,recall@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,OAKG-Union,map,0.01098901098901099,280,2,1
same-source,primary,Q0003,msd_pancreas,WL,ndcg@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,WL,precision@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,WL,recall@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,WL,map,0.003745318352059925,280,2,1
same-source,primary,Q0003,msd_pancreas,ZeroImputation,ndcg@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,ZeroImputation,precision@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,ZeroImputation,recall@10,0.0,280,2,1
same-source,primary,Q0003,msd_pancreas,ZeroImputation,map,0.022222222222222223,280,2,1
same-source,primary,Q0004,msd_pancreas,MissingnessIndicators,ndcg@10,0.18457569677956817,280,2,2
same-source,primary,Q0004,msd_pancreas,MissingnessIndicators,precision@10,0.1,280,2,2
same-source,primary,Q0004,msd_pancreas,MissingnessIndicators,recall@10,0.5,280,2,2
same-source,primary,Q0004,msd_pancreas,MissingnessIndicators,map,0.07729468599033816,280,2,2
same-source,primary,Q0004,msd_pancreas,OAKG,ndcg@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,OAKG,precision@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,OAKG,recall@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,OAKG,map,0.02447089947089947,280,2,2
same-source,primary,Q0004,msd_pancreas,OAKG-Union,ndcg@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,OAKG-Union,precision@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,OAKG-Union,recall@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,OAKG-Union,map,0.02447089947089947,280,2,2
same-source,primary,Q0004,msd_pancreas,WL,ndcg@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,WL,precision@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,WL,recall@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,WL,map,0.005562696076398966,280,2,2
same-source,primary,Q0004,msd_pancreas,ZeroImputation,ndcg@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,ZeroImputation,precision@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,ZeroImputation,recall@10,0.0,280,2,2
same-source,primary,Q0004,msd_pancreas,ZeroImputation,map,0.06294326241134751,280,2,2
same-source,primary,Q0005,msd_pancreas,MissingnessIndicators,ndcg@10,1.0,280,280,131
same-source,primary,Q0005,msd_pancreas,MissingnessIndicators,precision@10,1.0,280,280,131
same-source,primary,Q0005,msd_pancreas,MissingnessIndicators,recall@10,0.07633587786259542,280,280,131
same-source,primary,Q0005,msd_pancreas,MissingnessIndicators,map,0.8559740824023147,280,280,131
same-source,primary,Q0005,msd_pancreas,OAKG,ndcg@10,0.5668339904824009,280,280,131
same-source,primary,Q0005,msd_pancreas,OAKG,precision@10,0.4,280,280,131
same-source,primary,Q0005,msd_pancreas,OAKG,recall@10,0.030534351145038167,280,280,131
same-source,primary,Q0005,msd_pancreas,OAKG,map,0.4589307977834549,280,280,131
same-source,primary,Q0005,msd_pancreas,OAKG-Union,ndcg@10,0.5668339904824009,280,280,131
same-source,primary,Q0005,msd_pancreas,OAKG-Union,precision@10,0.4,280,280,131
same-source,primary,Q0005,msd_pancreas,OAKG-Union,recall@10,0.030534351145038167,280,280,131
same-source,primary,Q0005,msd_pancreas,OAKG-Union,map,0.4589307977834549,280,280,131
