query_id,query_case,target,threshold_cm3,rank,imputation_case,imp_coverage,imp_target_cm3,imp_relevant,oakg_case,oakg_coverage,oakg_target_cm3,oakg_relevant
HD1,FLARE22_Tr_0006,pancreas,78.4,1,FLARETs_0003,5,69.2,False,pancreas_077,1,89.5,True
HD1,FLARE22_Tr_0006,pancreas,78.4,2,FLARE22_Tr_0041,5,69.7,False,pancreas_048,1,90.9,True
HD1,FLARE22_Tr_0006,pancreas,78.4,3,FLARE22_Tr_0021,5,64.8,False,pancreas_358,1,89.4,True
HD1,FLARE22_Tr_0006,pancreas,78.4,4,FLARETs_0049,5,68.8,False,pancreas_357,1,89.4,True
HD1,FLARE22_Tr_0006,pancreas,78.4,5,FLARETs_0047,5,77.6,False,pancreas_052,1,91.1,True
HD2,FLARE22_Tr_0010,pancreas,78.4,1,FLARE22_Tr_0028,5,74.5,False,pancreas_207,1,96.2,True
HD2,FLARE22_Tr_0010,pancreas,78.4,2,FLARE22_Tr_0038,5,48.6,False,pancreas_145,1,95.9,True
HD2,FLARE22_Tr_0010,pancreas,78.4,3,FLARE22_Tr_0011,5,54.9,False,pancreas_327,1,95.8,True
HD2,FLARE22_Tr_0010,pancreas,78.4,4,FLARETs_0029,5,55.8,False,pancreas_004,1,98.6,True
HD2,FLARE22_Tr_0010,pancreas,78.4,5,FLARETs_0025,5,68.1,False,pancreas_293,1,98.9,True
HD3,FLARE22_Tr_0014,pancreas,78.4,1,FLARETs_0003,5,69.2,False,pancreas_061,1,147.0,True
HD3,FLARE22_Tr_0014,pancreas,78.4,2,FLARE22_Tr_0035,5,76.3,False,pancreas_005,1,149.7,True
HD3,FLARE22_Tr_0014,pancreas,78.4,3,FLARE22_Tr_0036,5,59.8,False,pancreas_217,1,146.2,True
HD3,FLARE22_Tr_0014,pancreas,78.4,4,FLARETs_0019,5,62.2,False,pancreas_096,1,150.2,True
HD3,FLARE22_Tr_0014,pancreas,78.4,5,FLARETs_0049,5,68.8,False,pancreas_099,1,144.8,True
HD4,FLARE22_Tr_0018,pancreas,78.4,1,FLARETs_0022,5,50.1,False,pancreas_194,1,114.3,True
HD4,FLARE22_Tr_0018,pancreas,78.4,2,FLARE22_Tr_0049,5,64.0,False,pancreas_342,1,114.4,True
HD4,FLARE22_Tr_0018,pancreas,78.4,3,FLARE22_Tr_0029,5,52.1,False,pancreas_071,1,114.1,True
HD4,FLARE22_Tr_0018,pancreas,78.4,4,FLARE22_Tr_0030,5,66.4,False,pancreas_367,1,115.2,True
HD4,FLARE22_Tr_0018,pancreas,78.4,5,FLARE22_Tr_0034,5,41.5,False,pancreas_043,1,113.0,True
HD5,FLARE22_Tr_0025,pancreas,78.4,1,FLARETs_0018,5,59.4,False,pancreas_043,1,113.0,True
HD5,FLARE22_Tr_0025,pancreas,78.4,2,FLARE22_Tr_0049,5,64.0,False,pancreas_071,1,114.1,True
HD5,FLARE22_Tr_0025,pancreas,78.4,3,FLARETs_0017,5,65.5,False,pancreas_113,1,112.3,True
HD5,FLARE22_Tr_0025,pancreas,78.4,4,FLARE22_Tr_0004,5,78.2,False,pancreas_194,1,114.3,True
HD5,FLARE22_Tr_0025,pancreas,78.4,5,FLARETs_0025,5,68.1,False,pancreas_342,1,114.4,True
HD6,FLARE22_Tr_0043,pancreas,78.4,1,FLARETs_0018,5,59.4,False,pancreas_051,1,79.1,True
HD6,FLARE22_Tr_0043,pancreas,78.4,2,FLARE22_Tr_0049,5,64.0,False,pancreas_234,1,80.9,True
HD6,FLARE22_Tr_0043,pancreas,78.4,3,FLARETs_0017,5,65.5,False,pancreas_098,1,78.6,True
HD6,FLARE22_Tr_0043,pancreas,78.4,4,FLARE22_Tr_0004,5,78.2,False,pancreas_419,1,78.5,True
HD6,FLARE22_Tr_0043,pancreas,78.4,5,FLARE22_Tr_0050,5,76.8,False,pancreas_386,1,81.3,True
