track,masking_regime,method,P@10,R@10,mAP,nDCG@10,ServedRate,n_queries,n_served
pred,asymmetric,Gower [pred],"0.360 [0.267, 0.441]","0.096 [0.073, 0.119]","0.374 [0.319, 0.425]","0.389 [0.302, 0.475]",1.0,35,70
pred,asymmetric,Masked cosine [pred],"0.273 [0.199, 0.339]","0.069 [0.052, 0.087]","0.345 [0.296, 0.393]","0.300 [0.226, 0.372]",1.0,35,70
pred,asymmetric,Mean imputation [pred],"0.379 [0.290, 0.451]","0.107 [0.083, 0.128]","0.397 [0.341, 0.445]","0.405 [0.323, 0.479]",1.0,35,70
pred,asymmetric,Missingness indicators [pred],"0.393 [0.319, 0.460]","0.109 [0.091, 0.126]","0.404 [0.354, 0.452]","0.424 [0.345, 0.491]",1.0,35,70
pred,asymmetric,OAKG-lexicographic [pred],"0.337 [0.279, 0.396]","0.211 [0.168, 0.252]","0.384 [0.342, 0.432]","0.396 [0.332, 0.463]",0.8142857142857143,35,57
pred,asymmetric,OAKG-product [pred],"0.337 [0.279, 0.396]","0.211 [0.168, 0.252]","0.384 [0.342, 0.432]","0.396 [0.332, 0.463]",0.8142857142857143,35,57
pred,asymmetric,OAKG-similarity [pred],"0.337 [0.268, 0.422]","0.208 [0.151, 0.272]","0.418 [0.363, 0.488]","0.383 [0.309, 0.470]",0.8142857142857143,35,57
pred,asymmetric,OAKG-threshold [pred],"0.337 [0.279, 0.396]","0.578 [0.482, 0.667]","0.484 [0.425, 0.553]","0.535 [0.462, 0.611]",0.8142857142857143,35,57
pred,asymmetric,WL [pred],"0.380 [0.334, 0.431]","0.118 [0.104, 0.132]","0.360 [0.327, 0.395]","0.404 [0.358, 0.453]",1.0,35,70
pred,asymmetric,WL+Obs [pred],"0.379 [0.325, 0.434]","0.239 [0.194, 0.284]","0.387 [0.347, 0.432]","0.420 [0.362, 0.476]",0.8142857142857143,35,57
pred,asymmetric,Zero imputation [pred],"0.379 [0.290, 0.451]","0.107 [0.083, 0.128]","0.397 [0.341, 0.445]","0.405 [0.323, 0.479]",1.0,35,70
pred,dataset_style,Gower [pred],"0.359 [0.300, 0.419]","0.099 [0.083, 0.117]","0.371 [0.336, 0.412]","0.387 [0.328, 0.446]",1.0,35,140
pred,dataset_style,Masked cosine [pred],"0.288 [0.245, 0.337]","0.078 [0.066, 0.092]","0.350 [0.319, 0.387]","0.317 [0.274, 0.368]",1.0,35,140
pred,dataset_style,Mean imputation [pred],"0.330 [0.285, 0.384]","0.092 [0.079, 0.106]","0.376 [0.342, 0.413]","0.361 [0.313, 0.414]",1.0,35,140
pred,dataset_style,Missingness indicators [pred],"0.374 [0.326, 0.427]","0.102 [0.088, 0.116]","0.390 [0.356, 0.427]","0.399 [0.352, 0.455]",1.0,35,140
pred,dataset_style,OAKG-lexicographic [pred],"0.357 [0.301, 0.420]","0.150 [0.125, 0.178]","0.378 [0.341, 0.419]","0.390 [0.333, 0.455]",0.7142857142857143,35,100
pred,dataset_style,OAKG-product [pred],"0.357 [0.301, 0.420]","0.150 [0.125, 0.178]","0.378 [0.341, 0.419]","0.390 [0.333, 0.455]",0.7142857142857143,35,100
pred,dataset_style,OAKG-similarity [pred],"0.346 [0.279, 0.418]","0.139 [0.112, 0.166]","0.383 [0.341, 0.426]","0.375 [0.310, 0.441]",0.7142857142857143,35,100
pred,dataset_style,OAKG-threshold [pred],"0.357 [0.301, 0.420]","0.226 [0.186, 0.268]","0.412 [0.370, 0.459]","0.399 [0.341, 0.464]",0.7142857142857143,35,100
pred,dataset_style,WL [pred],"0.346 [0.310, 0.383]","0.111 [0.096, 0.127]","0.358 [0.332, 0.384]","0.378 [0.341, 0.417]",1.0,35,140
pred,dataset_style,WL+Obs [pred],"0.350 [0.306, 0.397]","0.149 [0.130, 0.170]","0.367 [0.336, 0.404]","0.388 [0.343, 0.438]",0.7142857142857143,35,100
pred,dataset_style,Zero imputation [pred],"0.330 [0.285, 0.384]","0.092 [0.079, 0.106]","0.376 [0.342, 0.413]","0.361 [0.313, 0.414]",1.0,35,140
pred,random,Gower [pred],"0.354 [0.297, 0.416]","0.099 [0.082, 0.118]","0.367 [0.330, 0.405]","0.391 [0.330, 0.454]",1.0,35,140
pred,random,Masked cosine [pred],"0.296 [0.250, 0.345]","0.082 [0.070, 0.096]","0.351 [0.319, 0.385]","0.326 [0.282, 0.376]",1.0,35,140
pred,random,Mean imputation [pred],"0.346 [0.296, 0.393]","0.099 [0.084, 0.114]","0.387 [0.352, 0.421]","0.378 [0.326, 0.428]",1.0,35,140
pred,random,Missingness indicators [pred],"0.384 [0.340, 0.439]","0.105 [0.093, 0.119]","0.396 [0.364, 0.431]","0.417 [0.373, 0.472]",1.0,35,140
pred,random,OAKG-lexicographic [pred],"0.377 [0.336, 0.420]","0.241 [0.212, 0.272]","0.410 [0.373, 0.445]","0.426 [0.386, 0.469]",1.0,35,140
pred,random,OAKG-product [pred],"0.383 [0.343, 0.429]","0.243 [0.215, 0.275]","0.415 [0.378, 0.450]","0.431 [0.391, 0.476]",1.0,35,140
pred,random,OAKG-similarity [pred],"0.362 [0.308, 0.418]","0.226 [0.191, 0.261]","0.423 [0.381, 0.460]","0.413 [0.361, 0.470]",1.0,35,140
pred,random,OAKG-threshold [pred],"0.362 [0.307, 0.417]","0.230 [0.195, 0.265]","0.423 [0.381, 0.461]","0.413 [0.359, 0.469]",1.0,35,140
pred,random,WL [pred],"0.391 [0.353, 0.430]","0.120 [0.109, 0.134]","0.361 [0.336, 0.386]","0.418 [0.381, 0.454]",1.0,35,140
pred,random,WL+Obs [pred],"0.392 [0.354, 0.430]","0.264 [0.234, 0.298]","0.409 [0.374, 0.445]","0.438 [0.403, 0.474]",1.0,35,140
pred,random,Zero imputation [pred],"0.346 [0.296, 0.393]","0.099 [0.084, 0.114]","0.387 [0.352, 0.421]","0.378 [0.326, 0.428]",1.0,35,140
pred,uniform,Gower [pred],"0.391 [0.270, 0.506]","0.114 [0.078, 0.152]","0.401 [0.329, 0.462]","0.420 [0.303, 0.533]",1.0,35,35
pred,uniform,Masked cosine [pred],"0.326 [0.229, 0.433]","0.090 [0.064, 0.122]","0.370 [0.294, 0.433]","0.351 [0.254, 0.448]",1.0,35,35
pred,uniform,Mean imputation [pred],"0.391 [0.277, 0.509]","0.109 [0.078, 0.142]","0.416 [0.336, 0.485]","0.420 [0.303, 0.530]",1.0,35,35
pred,uniform,Missingness indicators [pred],"0.403 [0.298, 0.483]","0.110 [0.085, 0.133]","0.414 [0.336, 0.470]","0.434 [0.329, 0.518]",1.0,35,35
pred,uniform,OAKG-lexicographic [pred],"0.420 [0.323, 0.500]","0.160 [0.120, 0.209]","0.400 [0.344, 0.450]","0.462 [0.362, 0.546]",1.0,35,35
