masking_regime,mask_metadata,method,Delta_upstream_P@10,Delta_upstream_R@10,Delta_upstream_mAP,Delta_upstream_nDCG@10,Delta_upstream_ServedRate
asymmetric,"{""direction"": ""broad_to_narrow""}",Gower,0.008571428571428563,0.009659097202588285,0.016955369230318484,0.015579114268349292,0.0
asymmetric,"{""direction"": ""broad_to_narrow""}",Masked cosine,0.03428571428571425,0.014854111717183968,0.00913397379180908,0.04103844809188939,0.0
asymmetric,"{""direction"": ""broad_to_narrow""}",Mean imputation,0.022857142857142854,0.009127811564028518,0.017741847949359735,0.04002342628647365,0.0
asymmetric,"{""direction"": ""broad_to_narrow""}",Missingness indicators,0.017142857142857182,0.006387593871419711,0.007073790453910711,0.023302083405735696,0.0
asymmetric,"{""direction"": ""broad_to_narrow""}",OAKG-lexicographic,-0.005714285714285727,-0.005119047619047634,0.010975615064823085,0.009327909587226457,0.0
asymmetric,"{""direction"": ""broad_to_narrow""}",OAKG-product,-0.005714285714285727,-0.005119047619047634,0.010964727818848274,0.009327909587226457,0.0
asymmetric,"{""direction"": ""broad_to_narrow""}",OAKG-similarity,0.019999999999999962,0.013771184364686578,0.019823138112041505,0.028610430047125435,0.0
asymmetric,"{""direction"": ""broad_to_narrow""}",OAKG-threshold,-0.005714285714285727,-0.020140182769940562,0.034274048948432445,0.017367583307688284,0.0
asymmetric,"{""direction"": ""broad_to_narrow""}",WL,0.017142857142857126,0.007224052601312453,0.032759095974101926,0.03809238946938198,0.0
asymmetric,"{""direction"": ""broad_to_narrow""}",WL+Obs,0.020000000000000018,0.017284925161837272,0.04295960775908425,0.04596359104777614,0.0
asymmetric,"{""direction"": ""broad_to_narrow""}",Zero imputation,0.022857142857142854,0.009127811564028518,0.017741847949359735,0.04002342628647365,0.0
asymmetric,"{""direction"": ""narrow_to_broad""}",Gower,0.028571428571428525,0.018038711320076492,0.01633716948472752,0.027520944810641212,0.0
asymmetric,"{""direction"": ""narrow_to_broad""}",Masked cosine,0.04571428571428571,0.017816583014483592,0.012933685233241565,0.05074834634376929,0.0
asymmetric,"{""direction"": ""narrow_to_broad""}",Mean imputation,0.02857142857142858,0.011666140533834607,0.008333747152477422,0.02342770530196442,0.0
asymmetric,"{""direction"": ""narrow_to_broad""}",Missingness indicators,0.022857142857142854,0.007649860582191401,0.005170147499417466,0.006656422018353314,0.0
asymmetric,"{""direction"": ""narrow_to_broad""}",OAKG-lexicographic,0.004545454545454575,0.002557073811210675,0.01785238723125171,0.015681402083954465,0.0
asymmetric,"{""direction"": ""narrow_to_broad""}",OAKG-product,0.004545454545454575,0.002557073811210675,0.017865602056880592,0.015681402083954465,0.0
asymmetric,"{""direction"": ""narrow_to_broad""}",OAKG-similarity,0.009090909090909094,0.005957369336119234,0.03816216705635955,0.039466658921806674,0.0
asymmetric,"{""direction"": ""narrow_to_broad""}",OAKG-threshold,0.004545454545454575,0.002909590409590379,0.028262039590661148,0.015364408073946678,0.0
asymmetric,"{""direction"": ""narrow_to_broad""}",WL,-0.03428571428571425,-0.013487223530783188,0.03548116106042276,0.0002296518422113536,0.0
asymmetric,"{""direction"": ""narrow_to_broad""}",WL+Obs,-0.06363636363636366,-0.0320412177410149,0.038443761709789526,-0.004742491402400739,0.0
asymmetric,"{""direction"": ""narrow_to_broad""}",Zero imputation,0.02857142857142858,0.011666140533834607,0.008333747152477422,0.02342770530196442,0.0
dataset_style,"{""style"": ""kidney_only""}",Gower,-0.008571428571428619,0.0012979097362850883,-0.0029961157173338804,-0.00679879519767862,0.0
dataset_style,"{""style"": ""kidney_only""}",Masked cosine,0.0371428571428572,0.01118335875189179,0.01266123272737757,0.049905942709076,0.0
dataset_style,"{""style"": ""kidney_only""}",Mean imputation,0.02857142857142858,0.009847093606102822,0.008185601953441202,0.037264180866251495,0.0
dataset_style,"{""style"": ""kidney_only""}",Missingness indicators,-0.017142857142857126,-0.005688657770636096,0.0020246266684001424,0.0005204980875445631,0.0
dataset_style,"{""style"": ""kidney_only""}",OAKG-lexicographic,0.006666666666666682,0.01064716282107589,0.009084702567070335,0.02153445169731702,0.0
dataset_style,"{""style"": ""kidney_only""}",OAKG-product,0.006666666666666682,0.01064716282107589,0.009084702567070335,0.02153445169731702,0.0
dataset_style,"{""style"": ""kidney_only""}",OAKG-similarity,0.006666666666666682,0.01064716282107589,0.009084702567070335,0.02153445169731702,0.0
dataset_style,"{""style"": ""kidney_only""}",OAKG-threshold,0.006666666666666682,0.01064716282107589,0.009084702567070335,0.02153445169731702,0.0
dataset_style,"{""style"": ""kidney_only""}",WL,0.08285714285714288,0.02064049646745271,0.028900254403535608,0.060261142337611984,0.0
dataset_style,"{""style"": ""kidney_only""}",WL+Obs,0.033333333333333354,0.02805268805268804,0.01193247127755212,-0.002133039319094032,0.0
dataset_style,"{""style"": ""kidney_only""}",Zero imputation,0.02857142857142858,0.009847093606102822,0.008185601953441202,0.037264180866251495,0.0
dataset_style,"{""style"": ""liver_only""}",Gower,0.028571428571428525,0.018038711320076492,0.01633716948472752,0.027520944810641212,0.0
dataset_style,"{""style"": ""liver_only""}",Masked cosine,0.04571428571428571,0.017816583014483592,0.012933685233241565,0.05074834634376929,0.0
dataset_style,"{""style"": ""liver_only""}",Mean imputation,0.037142857142857144,0.013613218166861021,0.015986286658852433,0.034550372121725736,0.0
dataset_style,"{""style"": ""liver_only""}",Missingness indicators,0.017142857142857182,0.0084882044505796,0.010610685486828864,0.014423881599715638,0.0
dataset_style,"{""style"": ""liver_only""}",OAKG-lexicographic,0.009090909090909094,0.005957369336119234,0.03816216705635955,0.039466658921806674,0.0
dataset_style,"{""style"": ""liver_only""}",OAKG-product,0.009090909090909094,0.005957369336119234,0.03816216705635955,0.039466658921806674,0.0
dataset_style,"{""style"": ""liver_only""}",OAKG-similarity,0.009090909090909094,0.005957369336119234,0.03816216705635955,0.039466658921806674,0.0
dataset_style,"{""style"": ""liver_only""}",OAKG-threshold,0.009090909090909094,0.005957369336119234,0.03816216705635955,0.039466658921806674,0.0
dataset_style,"{""style"": ""liver_only""}",WL,0.057142857142857106,0.00738415835151994,0.04660261471859972,0.06641011904078681,0.0
dataset_style,"{""style"": ""liver_only""}",WL+Obs,0.045454545454545525,0.0245416203934139,0.06201349532489736,0.0746051132492846,0.0
dataset_style,"{""style"": ""liver_only""}",Zero imputation,0.037142857142857144,0.013613218166861021,0.015986286658852433,0.034550372121725736,0.0
dataset_style,"{""style"": ""multi_organ""}",Gower,0.008571428571428563,0.005734471530948013,0.01961633517340361,0.013286659373157872,0.0
dataset_style,"{""style"": ""multi_organ""}",Masked cosine,0.02571428571428569,0.007709140427312272,0.008215336816375263,0.03274122580623606,0.0
dataset_style,"{""style"": ""multi_organ""}",Mean imputation,0.037142857142857144,0.013956796828250281,0.009239753150487362,0.03274702992199097,0.0
dataset_style,"{""style"": ""multi_organ""}",Missingness indicators,0.017142857142857126,0.008633355497163445,0.0028949411017030746,0.010680763397214799,0.0
dataset_style,"{""style"": ""multi_organ""}",OAKG-lexicographic,0.03428571428571431,0.009002838305771088,0.016698287686697566,0.027221531583709824,0.0
dataset_style,"{""style"": ""multi_organ""}",OAKG-product,0.03428571428571431,0.009002838305771088,0.016710385549098372,0.027221531583709824,0.0
dataset_style,"{""style"": ""multi_organ""}",OAKG-similarity,-0.005714285714285727,0.0018657240688421395,0.015221741007143907,0.0012123504323989232,0.0
dataset_style,"{""style"": ""multi_organ""}",OAKG-threshold,0.03428571428571431,0.0198871164965429,0.028610010638489336,0.027447859600320035,0.0
dataset_style,"{""style"": ""multi_organ""}",WL,-0.011428571428571399,-0.008345051829566824,0.012992531632192272,-0.0011457793149486362,0.0
dataset_style,"{""style"": ""multi_organ""}",WL+Obs,-0.011428571428571399,-0.007906512770617768,0.01593105972355896,-0.0011457793149486362,0.0
dataset_style,"{""style"": ""multi_organ""}",Zero imputation,0.037142857142857144,0.013956796828250281,0.009239753150487362,0.03274702992199097,0.0
dataset_style,"{""style"": ""pancreas_only""}",Gower,-0.008571428571428563,-0.0009848286293074604,0.002958842710436227,-0.00419593149856029,0.0
dataset_style,"{""style"": ""pancreas_only""}",Masked cosine,0.0371428571428572,0.009110785614892869,0.011257710120064657,0.050464356900118745,0.0
dataset_style,"{""style"": ""pancreas_only""}",Mean imputation,0.037142857142857144,0.009017563140718013,0.009718010218119355,0.052069401556982364,0.0
dataset_style,"{""style"": ""pancreas_only""}",Missingness indicators,-0.017142857142857126,-0.00621362686488737,-0.001041949792913499,-0.0023228569419446177,0.0
dataset_style,"{""style"": ""pancreas_only""}",OAKG-lexicographic,-0.03214285714285714,-0.00872209110311678,0.004459169784393757,-0.02184550629052917,0.0
dataset_style,"{""style"": ""pancreas_only""}",OAKG-product,-0.03214285714285714,-0.00872209110311678,0.004459169784393757,-0.02184550629052917,0.0
dataset_style,"{""style"": ""pancreas_only""}",OAKG-similarity,-0.03214285714285714,-0.00872209110311678,0.004459169784393757,-0.02184550629052917,0.0
dataset_style,"{""style"": ""pancreas_only""}",OAKG-threshold,-0.03214285714285714,-0.00872209110311678,0.004459169784393757,-0.02184550629052917,0.0
dataset_style,"{""style"": ""pancreas_only""}",WL,0.02285714285714291,-0.0003080763625972066,0.030533613811630944,0.011552904180537116,0.0
dataset_style,"{""style"": ""pancreas_only""}",WL+Obs,0.02142857142857152,1.8282550247925022e-05,0.031028827296532946,-0.012559274473277537,0.0
dataset_style,"{""style"": ""pancreas_only""}",Zero imputation,0.037142857142857144,0.009017563140718013,0.009718010218119355,0.052069401556982364,0.0
random,"{""missing_fraction"": 0.2}",Gower,0.002857142857142836,0.00540718201156061,0.010964847534197963,0.014234049335828558,0.0
random,"{""missing_fraction"": 0.2}",Masked cosine,0.017142857142857182,0.007227900793411554,0.004838415497364745,0.02535814724221963,0.0
random,"{""missing_fraction"": 0.2}",Mean imputation,0.02571428571428569,0.009754579574003178,0.007673715483734522,0.03402108682442684,0.0
random,"{""missing_fraction"": 0.2}",Missingness indicators,0.022857142857142854,0.008686097487101377,-0.00010860260279677014,0.010864911521362652,0.0
random,"{""missing_fraction"": 0.2}",OAKG-lexicographic,0.011428571428571455,0.006736096517116874,0.0007499400754776842,0.006538586728227103,0.0
random,"{""missing_fraction"": 0.2}",OAKG-product,0.008571428571428563,0.005077729821156229,0.002442435605875759,0.006431127482013965,0.0
random,"{""missing_fraction"": 0.2}",OAKG-similarity,-0.03142857142857142,-0.008125477788956337,0.006729036130967148,-0.010044287705388177,0.0
random,"{""missing_fraction"": 0.2}",OAKG-threshold,-0.03142857142857142,-0.008125477788956337,0.006729036130967148,-0.010044287705388177,0.0
random,"{""missing_fraction"": 0.2}",WL,0.03428571428571431,0.006552543341351885,0.020039750096944586,0.03833504154123707,0.0
random,"{""missing_fraction"": 0.2}",WL+Obs,0.03428571428571431,0.010210528367549238,0.02693743870474702,0.03833504154123707,0.0
random,"{""missing_fraction"": 0.2}",Zero imputation,0.02571428571428569,0.009754579574003178,0.007673715483734522,0.03402108682442684,0.0
random,"{""missing_fraction"": 0.4}",Gower,0.02857142857142858,0.013811192738658454,0.01686714946193324,0.029446130727907305,0.0
random,"{""missing_fraction"": 0.4}",Masked cosine,0.04857142857142854,0.01689235207808988,0.013766354015270987,0.051024293273143284,0.0
random,"{""missing_fraction"": 0.4}",Mean imputation,0.03428571428571425,0.010387932989962892,0.010797011086821962,0.036111484751988165,0.0
random,"{""missing_fraction"": 0.4}",Missingness indicators,-0.005714285714285727,0.0019725405915573535,0.0019236232499055261,-0.006062530700421287,0.0
random,"{""missing_fraction"": 0.4}",OAKG-lexicographic,0.017142857142857182,0.008737334427102311,0.0016865984868947304,0.01578861658973507,0.0
