regime,seed,query_id,method,nDCG@10
uniform,0,pancreas_001,OAKG,1.0
uniform,0,pancreas_001,OAKG-Union,1.0
uniform,0,pancreas_012,OAKG,0.21306158485699
uniform,0,pancreas_012,OAKG-Union,0.21306158485699
uniform,0,pancreas_042,OAKG,0.0
uniform,0,pancreas_042,OAKG-Union,0.0
uniform,0,pancreas_058,OAKG,0.0
uniform,0,pancreas_058,OAKG-Union,0.0
uniform,0,pancreas_077,OAKG,0.0
uniform,0,pancreas_077,OAKG-Union,0.0
uniform,0,pancreas_080,OAKG,0.5668339904824009
uniform,0,pancreas_080,OAKG-Union,0.5668339904824009
uniform,0,pancreas_081,OAKG,0.3425479501917774
uniform,0,pancreas_081,OAKG-Union,0.3425479501917774
uniform,0,pancreas_084,OAKG,1.0
uniform,0,pancreas_084,OAKG-Union,1.0
uniform,0,pancreas_086,OAKG,0.8515543142729491
uniform,0,pancreas_086,OAKG-Union,0.8515543142729491
uniform,0,pancreas_089,OAKG,0.7221746306981013
uniform,0,pancreas_089,OAKG-Union,0.7221746306981013
uniform,0,pancreas_091,OAKG,1.0
uniform,0,pancreas_091,OAKG-Union,1.0
uniform,0,pancreas_092,OAKG,0.21819512777735
uniform,0,pancreas_092,OAKG-Union,0.21819512777735
uniform,0,pancreas_094,OAKG,1.0
uniform,0,pancreas_094,OAKG-Union,1.0
uniform,0,pancreas_104,OAKG,0.14285714285714285
uniform,0,pancreas_104,OAKG-Union,0.14285714285714285
uniform,0,pancreas_110,OAKG,1.0
uniform,0,pancreas_110,OAKG-Union,1.0
uniform,0,pancreas_113,OAKG,0.9371166382005486
uniform,0,pancreas_113,OAKG-Union,0.9371166382005486
uniform,0,pancreas_114,OAKG,0.0
uniform,0,pancreas_114,OAKG-Union,0.0
uniform,0,pancreas_117,OAKG,0.4309322110679313
uniform,0,pancreas_117,OAKG-Union,0.4309322110679313
uniform,0,pancreas_119,OAKG,0.94546789582947
uniform,0,pancreas_119,OAKG-Union,0.94546789582947
uniform,0,pancreas_120,OAKG,0.0
